# redshift                Ha6563rest              OII3726rest             OII3729rest             OIII4959rest            OIII5007rest            
  8.443448605563213e-01   1.095829471703732e+40   5.044471952364071e+38   7.487171192048552e+38   3.905159926386981e+39   1.176251521563535e+40   
  8.426324629418063e-01   2.263687760087924e+39   8.223880169254497e+37   1.219972500848386e+38   7.672840647262011e+38   2.310525880441093e+39   
  8.460246310316533e-01   6.676528618946818e+41   2.290917193099788e+40   3.322253793964794e+40   1.753729326849470e+41   5.279341919275467e+41   
  8.518326918059027e-01   2.055214186875037e+40   9.711983991634532e+38   1.441371832702403e+39   7.664996931924396e+39   2.308746274349388e+40   
  8.399042926501508e-01   6.041354985563897e+41   1.994792352401112e+40   2.960023407274468e+40   1.011617703176105e+41   3.046806939833112e+41   
  8.449172541227126e-01   1.307377194200959e+40   5.931948502123561e+38   8.805259697438306e+38   4.384385688175371e+39   1.320751767758896e+40   
  8.386278889111427e-01   1.093358728226713e+40   5.078648168506894e+38   7.537757156464081e+38   3.914094097620508e+39   1.178996200156230e+40   
  8.477803552485152e-01   9.446553034202644e+36   2.692704760960102e+35   3.992019655481855e+35   4.345383608909495e+36   1.309247330376755e+37   
  8.448734644730229e-01   2.174395762473482e+40   1.022321238238819e+39   1.517178024968739e+39   8.134429673409720e+39   2.450194595392916e+40   
  8.392824324983401e-01   1.596048511097548e+39   6.513141745813601e+37   9.662309408771430e+37   6.088080223866219e+38   1.833397064903898e+39   
  8.424224468399957e-01   2.317939423091323e+38   8.776777213251557e+36   1.302585762567349e+37   1.151113634592683e+38   3.468312315550526e+38   
  8.480202139727691e-01   3.206221543982283e+38   1.392055667362395e+37   2.067872406596867e+37   1.613236154766722e+38   4.860690252746980e+38   
  8.411815771468354e-01   9.678515690372163e+38   3.277604947238861e+37   4.863135867954249e+37   3.391808592264470e+38   1.021506196163091e+39   
  8.465403469545314e-01   4.705633723254974e+40   2.270468535964928e+39   3.369214966612408e+39   1.872584335652393e+40   5.639976520764169e+40   
