# z    ,     O[III] EW / H beta EW
     0.820177,     -151.240
     0.745066,      3.01437
     0.658467,      2.76528
     0.819355,      4.11491
     0.732741,      2.23116
     0.733203,      2.10964
     0.694225,     0.449032
     0.770801,     -1506.20
     0.679046,     0.217028
     0.770296,      4.30074
     0.660439,      1.25584
     0.791363,     0.327896
     0.677167,      1.28651
     0.767590,      2.40838
     0.755582,     0.941821
     0.678573,      1.81653
     0.807380,     -988.871
     0.768420,      1.65796
     0.691309,      2.74895
     0.730897,      2.58503
     0.731472,      1.81574
     0.732120,      4.55782
     0.769440,      1.67109
     0.731514,     0.697840
     0.668746,      2.36807
     0.737088,      1.60503
     0.670257,      12.0386
     0.735615,      1.52833
     0.735988,      1.20592
     0.780811,     -636.058
     0.756773,      1.87889
     0.652876,      2.72872
     0.779267,     0.403644
     0.756762,      2.25811
     0.740282,     0.489414
     0.724370,      5.76313
     0.690459,     0.474532
     0.658918,      1.21652
     0.756749,      1.34213
     0.657140,     0.631414
     0.761476,      2.25245
     0.678185,      3.72758
     0.761570,      1.17484
     0.679598,      8.01337
     0.781257,     -802.083
     0.732184,    0.0600394
     0.683726,     0.467628
     0.732598,    -0.304706
     0.724842,      3.95240
     0.807610,     -865.205
     0.733646,     0.972843
     0.666097,    0.0797942
     0.744109,     -531.804
     0.746871,     -83.7051
     0.742305,      2.35471
     0.791702,     -1775.52
     0.672418,      4.97277
     0.691970,    0.0848688
     0.671339,      1.52389
     0.671513,      1.17998
     0.671942,      1.76286
     0.729875,     0.880834
     0.770263,    0.0562990
     0.740011,      1.08935
     0.730855,     0.981250
     0.753861,      1.33943
     0.660074,      1.30952
     0.746830,      1.36242
     0.738092,      1.81711
     0.754746,      1.07494
     0.790933,     0.473181
     0.771294,      1.35051
     0.755010,     0.259230
     0.746206,      5.20267
     0.716241,      3.01364
     0.681082,      2.71472
     0.740483,      2.17370
     0.673258,     0.355564
     0.673202,     0.468051
     0.686905,     0.457417
     0.754137,     0.495164
     0.716410,      1.01315
     0.755528,     0.935566
     0.658661,      2.95253
     0.729783,     0.898662
     0.671358,      2.98505
     0.658959,      4.49248
     0.768309,     0.413654
     0.678821,      3.15954
     0.768528,      2.29941
     0.826461,     -2184.82
     0.756008,     0.435478
     0.754779,     0.846623
     0.745421,      1.62609
     0.657476,   -0.0751508
     0.657538,     0.561561
     0.713027,      2.00498
     0.767868,      4.40559
     0.716916,      1.46076
     0.786321,     0.726672
     0.845174,     -1054.70
     0.679434,      1.66120
     0.768694,      3.94527
     0.655265,     0.596726
     0.670946,     0.888203
     0.700546,      3.54567
     0.679375,      2.12186
     0.679632,      1.91830
     0.768999,      9.45686
     0.851003,     -800.995
     0.778871,      1.69506
     0.656923,      1.35643
     0.781606,     0.812444
     0.767661,     0.596243
     0.807127,     0.955937
     0.781081,     -685.585
     0.651009,      2.60455
     0.736821,      3.23740
     0.733748,      2.29212
     0.760069,      1.09882
     0.671479,      1.15943
     0.760560,     0.671004
     0.762511,     -5135.70
     0.780734,     -1134.02
     0.807994,     -882.391
     0.759801,     0.277085
     0.806932,     0.214795
     0.781163,      1.21882
     0.762282,     0.802608
     0.848961,     -1582.61
     0.671982,      2.66905
     0.752241,     -628.440
     0.762927,      2.11969
     0.740717,     0.721371
     0.691493,     -745.672
     0.745126,      1.17130
     0.745066,      1.29937
     0.740814,     -2317.74
     0.708314,      3.76661
     0.752058,     -1951.72
     0.739244,     -847.605
     0.741468,      1.93616
     0.742209,     0.574869
     0.709199,      1.61379
     0.671526,      1.10212
     0.741621,      1.08838
     0.751031,    0.0794866
     0.751693,    -0.217884
     0.746498,     0.777682
     0.743772,     0.408432
     0.744694,     0.795011
     0.740627,     0.541594
     0.735914,     0.319496
     0.747492,      3.61922
     0.743504,      7.49696
     0.754372,     0.715703
     0.744429,      1.67740
     0.768627,      2.27783
     0.746086,     0.303258
     0.781551,     0.125554
     0.708927,      1.42441
     0.743906,      2.84731
     0.821972,      1.43076
     0.744209,     0.771856
     0.706570,      4.02066
     0.747431,      4.89453
     0.669961,     0.151933
     0.807705,     0.734104
     0.676430,     0.720862
     0.827008,     -182.829
     0.745409,     0.387055
     0.768095,      1.46097
     0.678118,      1.71888
     0.709679,     0.294483
     0.678372,      1.71408
     0.845651,     -1047.49
     0.745013,     0.920073
     0.656957,      1.20970
     0.681523,     0.300586
     0.676515,     0.642239
     0.655922,     0.666457
     0.780122,     -643.626
     0.845225,     -1147.20
     0.731990,      3.12668
     0.739518,      1.43002
     0.795035,      4.13790
     0.814635,      1.87255
     0.729329,      4.22607
     0.737108,      4.89359
     0.677055,      1.16930
     0.736650,      2.76284
     0.738368,     0.764324
     0.710109,    0.0614299
     0.709518,     0.260436
     0.736373,      1.37805
     0.740545,      1.35691
     0.736491,     0.548411
     0.740330,     0.141968
     0.737743,     0.610163
     0.750108,     -435.019
     0.822643,     -988.997
     0.750127,     -4126.58
     0.750722,     -709.722
     0.709396,      3.30382
     0.778779,     0.532743
     0.693114,      1.38035
     0.709639,      1.32029
     0.749143,      1.76089
     0.822547,     -891.003
     0.692053,      1.34923
     0.748911,     0.850140
     0.843103,     -1337.47
     0.670634,      1.31040
     0.822741,      2.74108
     0.747423,     -433.705
     0.688210,      1.36230
     0.746490,      1.48443
     0.746832,     -816.401
     0.745953,      2.89141
     0.688814,     0.939707
     0.746971,     0.503385
     0.746295,     0.272742
     0.746206,      1.70522
     0.681088,      2.54966
     0.780840,     0.493972
     0.822242,     -188.783
     0.668381,     0.315247
     0.767956,      1.73468
     0.685738,      1.15639
     0.821881,     -2333.27
     0.671543,     0.627239
     0.710654,    0.0637433
     0.767957,      3.60344
     0.764156,      1.39195
     0.744818,     0.793995
     0.743665,     0.354641
     0.763024,     0.831356
     0.710676,     0.259938
     0.689753,      3.49920
     0.747871,    -0.156140
     0.846062,     -755.298
     0.768039,      2.48842
     0.745179,      4.16585
     0.742739,     0.722966
     0.762620,     0.654454
     0.687271,      6.62017
     0.673678,      1.38973
     0.686823,      3.10760
     0.744545,     0.522398
     0.742580,      4.11407
     0.752086,     -1353.47
     0.710857,      1.15853
     0.822099,     -1169.68
     0.730711,      1.65911
     0.751203,      2.36233
     0.708071,      1.46158
     0.673250,      1.74017
     0.701278,      1.54044
     0.707226,     0.468753
     0.766923,      2.07610
     0.736795,      4.38306
     0.751154,      2.64595
     0.776430,      1.25188
     0.678128,     0.966733
     0.691109,      1.98059
     0.672472,     0.517304
     0.739784,     0.165948
     0.691402,     0.389758
     0.751548,     0.920160
     0.680220,      1.77319
     0.743897,      3.54748
     0.763369,     0.717149
     0.750404,     -2222.49
     0.691431,     0.928811
     0.795161,     0.534929
     0.806570,      1.93760
     0.806428,     0.342086
     0.694678,      1.50709
     0.686766,      1.66019
     0.779949,      2.43050
     0.764348,      2.13660
     0.655117,      1.50385
     0.753673,   -0.0513203
     0.805618,     0.409061
     0.680345,     0.281736
     0.753793,    0.0380892
     0.762492,     0.740760
     0.654769,     -1036.73
     0.782005,     0.424184
     0.780226,      3.00052
     0.701865,      6.01956
     0.701872,      1.05812
     0.742526,      1.41651
     0.679487,    -0.144835
     0.792370,     -854.833
     0.719990,      3.78312
     0.696398,      1.78509
     0.672422,      2.60252
     0.700942,     0.622192
     0.719073,      1.00253
     0.678365,     0.643375
     0.709925,      5.17156
     0.690291,     0.559829
     0.774388,     0.664752
     0.707606,     0.165206
     0.673785,     0.519638
     0.677995,      1.00276
     0.691065,      1.14997
     0.702138,      4.09172
     0.773486,      1.53439
     0.795072,      3.17956
     0.681969,     0.485551
     0.728565,      1.38203
     0.686307,      2.25339
     0.764434,     0.843805
     0.715518,      4.18923
     0.670435,     0.444250
     0.687215,      2.88229
     0.717213,     0.722335
     0.688488,      2.99610
     0.741695,     0.110265
     0.877109,     -952.449
     0.742700,      1.83619
     0.823985,     -934.232
     0.734567,      1.69144
     0.742000,     0.308108
     0.843813,     -895.746
     0.687292,      7.01904
     0.717498,      1.23397
     0.775789,      1.48464
     0.672960,      1.98492
     0.734237,     0.878466
     0.735378,      8.29160
     0.742338,      3.28772
     0.842694,     -1517.00
     0.736787,      4.29888
     0.740406,     0.918203
     0.735284,     0.782950
     0.690205,      2.06657
     0.654748,     0.944082
     0.711543,      3.29310
     0.697051,      2.40849
     0.678299,      2.61063
     0.676765,      1.33105
     0.696871,      1.86136
     0.697462,     0.620092
     0.738393,    0.0594588
     0.688028,      2.75553
     0.687259,     0.348156
     0.688554,      2.80473
     0.670813,     0.111521
     0.764635,      1.07249
     0.737779,     0.727794
     0.687929,      2.11733
     0.795372,     -876.537
     0.708700,      9.30469
     0.740621,     0.562855
     0.739967,     0.366334
     0.755083,      1.57672
     0.713613,      1.18296
     0.740439,      1.35040
     0.846192,     -1151.54
