# z   ,    O[III] EW / O[II] EW
      1.03982,     -177.821
      1.26376,     -188.565
      1.03252,     -165.047
     0.875531,     -405.878
     0.856483,     -121.003
      1.08329,     -152.189
      1.07532,     -182.670
      1.10253,     -236.052
     0.831456,     -308.871
     0.953568,     -200.121
     0.831586,     -318.275
     0.831552,     -318.275
      1.22884,     -104.261
     0.855419,     -246.042
      1.33562,     -189.098
      1.07669,     -184.717
      1.28208,     -1224.28
     0.832272,     -134.137
     0.836504,     -218.377
     0.926747,     -260.258
      1.30651,     -334.836
     0.800347,     -197.676
     0.902518,     -235.232
     0.834090,     -223.731
      1.03561,     -265.722
     0.835509,     -919.830
     0.927100,     -383.755
     0.834904,     -144.165
     0.985680,     -190.652
     0.985165,     -248.066
      1.07657,     -91.8469
      1.23442,     -169.570
      1.15915,     -221.110
     0.831611,      2.07553
      1.11858,     -228.008
     0.836977,     -92.6179
     0.819344,     0.722494
     0.997352,     -238.025
     0.844968,     -169.147
      1.08530,     -103.332
      1.21163,     -103.467
      1.04047,     -206.528
      1.11802,     -134.028
      1.22376,     -310.665
     0.816720,     0.124314
      1.10471,     -131.551
      1.27897,     -170.725
     0.994781,     -177.847
     0.901738,     -616.603
     0.995642,     -534.375
     0.929838,     -295.060
     0.946993,     -273.672
     0.550570,     -626.362
     0.986003,     -780.392
      1.38388,     -207.679
      1.20802,     -206.094
     0.924727,     -468.456
     0.923489,     -348.766
     0.872233,     -212.144
     0.873253,     -147.338
      1.27417,     -211.841
     0.835932,     -254.771
      1.21573,     -248.849
     0.922753,     -248.210
      1.31430,     -166.538
      1.16533,     -739.229
     0.983963,     -75.4639
      1.02484,     -247.847
     0.836487,     -143.342
      1.34430,     -220.095
     0.865253,     -121.431
     0.875050,     -163.867
      1.27501,     -149.008
     0.834822,     -526.261
     0.900862,     -281.524
     0.775615,     0.240050
     0.902167,     -291.682
     0.999119,     -393.919
      1.20747,     -179.846
      1.03009,     -216.129
      1.23649,     -119.523
      1.23742,     -393.713
     0.835057,     -116.256
     0.917084,     -210.761
     0.817307,     -307.715
     0.817724,     -112.292
     0.985942,     -291.466
      1.37130,     -169.776
      1.21621,     -170.470
     0.915941,     -151.548
     0.950401,     -285.071
     0.712608,     0.814123
     0.915768,     -298.555
     0.953104,     -181.752
     0.855249,     -280.380
     0.985782,     -557.798
      1.40808,     -246.026
     0.925960,     -196.967
      1.03573,     -215.472
     0.903612,     -477.107
     0.934731,     -1006.73
      1.36832,     -190.471
     0.855998,     -188.889
     0.834284,     -500.986
     0.751518,     0.724905
      1.03305,     -106.464
     0.904102,     -165.805
     0.758611,     0.453498
      1.28371,     -213.482
      1.37403,     -353.869
     0.856894,     -459.949
      1.29356,     -207.712
      1.03595,     -188.858
      1.22402,     -245.124
     0.983670,     -427.426
      1.13730,     -171.487
      1.03541,     -146.208
      1.23044,     -129.873
     0.902473,     -219.090
     0.773122,     0.547085
     0.999056,     -272.969
      1.10441,     -141.810
     0.760516,     0.120754
     0.983172,     -314.869
     0.902898,     -168.774
      1.15840,     -379.250
      1.08539,     -201.502
     0.817494,     0.262437
      1.35822,     -167.503
      1.05630,     -194.793
      1.25542,     -290.395
      1.25858,     -127.566
      1.10379,     -396.754
     0.979735,     -147.661
      1.11730,     -104.885
      1.18011,     -189.977
     0.817438,     -984.892
      1.27472,     -187.517
      1.16980,     -123.355
      1.25644,     -188.644
      1.02338,     -216.037
      1.03793,     -605.717
      1.21314,     -212.207
      1.05624,     -574.693
     0.817859,     -341.982
      1.27397,     -345.547
     0.979623,     -147.740
      1.21300,     -436.585
     0.998438,     -233.784
      1.18148,     -170.324
      1.40083,     -184.563
      1.25988,     -366.677
      1.03858,     -371.218
     0.836520,     -90.4123
      1.18096,     -166.594
     0.901641,     -208.435
     0.901751,     -338.694
     0.733969,     0.288970
      1.28157,     -253.012
      1.27178,     -129.807
      1.15972,     -205.246
     0.985737,     -174.827
      1.15939,     -222.413
      1.27079,     -126.292
      1.03330,     -371.651
     0.799176,     -169.233
     0.739211,      1.12482
      1.01992,     -476.072
     0.835380,     -355.523
     0.875343,     -168.118
      1.16428,     -420.476
      1.16118,     -105.785
     0.862400,     -235.320
      1.18130,     -211.558
     0.819139,     0.407228
      1.16340,     -266.683
      1.29770,     -103.391
      1.21649,     -140.590
     0.816108,     -630.176
      1.29816,     -1115.20
     0.733809,     0.249195
     0.820110,     -347.482
      1.16340,     -299.536
     0.904101,     -142.622
      1.29806,     -172.314
     0.985024,     -347.254
      1.27832,     -265.856
      1.02321,     -250.838
      1.27848,     -713.396
     0.281932,     -1848.75
     0.841595,     -392.235
     0.842294,     -301.366
      1.16109,     -372.855
     0.996965,     -80.9389
      1.16283,     -255.650
     0.903950,     -169.388
     0.759043,     0.236490
     0.757605,     0.772332
      1.24712,     -169.620
     0.726697,     0.533231
      1.23125,     -183.239
      1.03626,     -151.499
     0.842045,     -168.569
      1.03701,     -317.627
      1.40056,     -98.8848
      1.10368,     -78.2798
     0.819017,     -167.301
      1.28173,     -157.556
      1.40864,     -142.329
      1.31479,     -347.018
     0.983826,     -167.110
     0.808125,     0.284214
     0.781382,     0.475026
     0.726639,      1.58913
      1.04462,     -205.430
     0.773229,     0.938809
      1.01476,     -421.328
      1.08742,     -358.962
      1.04386,     -250.230
      1.05844,     -156.738
     0.832079,     -430.937
     0.760359,     0.429008
     0.902794,     -515.919
     0.759853,     0.332754
      1.38037,     -307.985
     0.949375,     -200.622
      1.04330,     -153.789
      1.05686,     -389.115
     0.949096,     -400.905
      1.08522,     -168.538
     0.964673,     -231.619
      1.08696,     -140.915
      1.18479,     -948.532
     0.843102,     -285.700
      1.24476,     -293.419
      1.02570,     -229.461
     0.783261,      1.11230
     0.761333,     0.293544
     0.760089,     0.712967
      1.08711,     -569.261
     0.763973,     -322.944
     0.841372,      1.21137
      1.07854,     -403.486
     0.766455,     -133.863
      1.21356,     -108.137
      1.03036,     -316.052
      1.26550,     -132.820
      1.08794,     -104.490
      1.21247,     -200.625
      1.19820,     -113.850
     0.847795,     -456.538
      1.02105,     -866.338
      1.26448,     -154.309
      1.21001,     -183.303
      1.26477,     -303.069
     0.836126,     -269.443
      1.02119,     -290.345
     0.815609,     -132.740
     0.995747,     -292.881
     0.957601,     -175.833
      1.33332,     -163.472
     0.952000,     -203.998
      1.01938,     -217.273
      1.28191,     -94.6836
     0.786763,      2.62026
      1.09051,     -114.404
      1.35122,     -494.795
      1.41455,     -70.7487
      1.39751,     -193.539
      1.35141,     -157.855
     0.937263,     -336.858
     0.937276,     -214.114
      1.26581,     -82.4993
      1.16896,     -234.885
      1.41696,     -246.388
     0.837876,     -689.263
     0.956428,     -197.419
     0.842310,     -358.563
      1.21351,     -407.538
     0.733749,     0.289568
      1.33492,     -258.644
     0.738606,     0.958023
      1.27708,     -357.983
      1.39773,     -224.783
      1.13705,     -286.597
     0.915947,     -1297.27
     0.904684,     -115.774
      1.39817,     -252.888
      1.03572,     -169.992
     0.925623,     -630.619
     0.937168,     -396.317
     0.914750,     -602.405
     0.902913,     -264.227
     0.925256,     -545.795
     0.904525,     -368.077
     0.842583,     -135.975
     0.936257,     -351.194
      1.02994,     -250.813
      1.03989,     -241.342
      1.05554,     -227.599
      1.04251,     -169.483
     0.817035,     0.721671
     0.816737,     -327.655
      1.00075,     -79.7597
     0.842672,     -297.508
     0.739833,     0.329941
      1.23228,     -363.583
     0.773522,     0.217153
      1.27960,     -370.297
     0.965654,     -890.396
     0.732684,    0.0680742
     0.772326,     0.226537
      1.04083,     -150.076
      1.41453,     -142.562
      1.23320,     -1554.36
     0.986386,     -170.891
     0.817616,     -204.980
      1.00208,     -399.729
      1.03424,     -179.058
      1.03289,     -216.381
     0.950297,     -331.010
     0.817150,     -155.390
      1.02635,     -55.1008
      1.03110,     -305.830
     0.743689,      1.10272
     0.744838,     0.281413
      1.01223,     -204.235
     0.813941,     0.212225
     0.788902,      1.49670
     0.842736,     -550.588
     0.966885,     -297.232
      1.28069,     -105.170
     0.786867,     -265.037
     0.817614,     0.353729
      1.11835,     -233.219
     0.728790,     0.266028
      1.03024,     -163.862
      1.01500,     -158.432
     0.742678,      1.40297
     0.743910,     0.274900
     0.817310,     -215.377
     0.953867,     -119.033
      1.39462,     -541.863
     0.742900,     0.115380
     0.743754,    0.0879923
     0.948559,     -230.381
      1.40063,     -78.8318
     0.948172,     -161.322
      1.26777,     -311.760
     0.816450,     -152.731
     0.996587,     -321.621
     0.908296,     -257.901
     0.844024,     -1069.37
      1.02463,     -167.112
     0.841873,     -331.812
      1.09678,     -277.688
     0.877025,     -600.495
      1.17660,     -553.484
     0.826182,     -255.793
     0.782472,      1.31860
     0.821401,     -109.505
     0.784325,      2.78607
     0.976432,     -156.840
     0.733516,     0.107455
     0.785547,     0.710805
      1.08945,     -393.629
     0.957083,     -219.538
     0.905263,     -344.930
      1.01679,     -155.160
      1.03850,     -232.508
      1.16489,     -320.824
     0.940718,     -428.760
     0.982930,     -269.332
     0.977720,     -295.997
      1.01761,     -214.178
      1.06028,     -261.000
      1.01669,     -190.235
     0.738013,     0.597947
     0.980910,     -319.040
      1.01506,     -217.137
     0.845653,     -330.909
      1.26085,     -257.591
     0.952177,     -274.240
      1.15921,     -334.415
      1.03710,     -484.502
     0.772294,    0.0571605
      1.33363,     -307.019
     0.920750,     -198.300
      1.27998,     -104.096
      1.17721,     -215.809
     0.842210,     -416.560
      1.00603,     -152.502
      1.04858,     -331.267
     0.935928,     -311.889
      1.12543,     -231.833
     0.781652,     0.135606
      1.19592,     -143.546
