# z      ,        O[II] EW
      1.22884,      95.9037
     0.855419,      40.6394
      1.33562,      52.8772
      1.07669,      54.1314
      1.28208,      8.16723
     0.832272,      74.5430
     0.836504,      45.7878
     0.926747,      38.4196
      1.30651,      29.8624
     0.800347,      50.5829
     0.902518,      42.5070
     0.834090,      44.6920
      1.03561,      37.6295
     0.835509,      10.8705
     0.927100,      26.0557
     0.834904,      69.3579
     0.985680,      52.4464
     0.985165,      40.3077
      1.07657,      108.866
      1.23442,      58.9669
      1.15915,      45.2219
     0.831611,      41.6371
      1.11858,      43.8537
     0.836977,      107.960
     0.819344,      25.6129
     0.997352,      42.0082
     0.844968,      59.1144
      1.08530,      96.7661
      1.21163,      96.6394
      1.04047,      48.4148
      1.11802,      74.6036
      1.22376,      32.1858
     0.816720,      26.4102
      1.10471,      76.0087
      1.27897,      58.5680
     0.994781,      56.2225
     0.901738,      16.2163
     0.995642,      18.7116
     0.929838,      33.8880
     0.946993,      36.5365
     0.550570,      15.9636
     0.986003,      12.8128
      1.38388,      48.1464
      1.20802,      48.5166
     0.924727,      21.3446
     0.923489,      28.6697
     0.872233,      47.1332
     0.873253,      67.8642
      1.27417,      47.2005
     0.835932,      39.2470
      1.21573,      40.1810
     0.922753,      40.2844
      1.31430,      60.0404
      1.16533,      13.5262
     0.983963,      132.501
      1.02484,      40.3434
     0.836487,      69.7565
      1.34430,      45.4303
     0.865253,      82.3433
     0.875050,      61.0191
      1.27501,      67.1039
     0.834822,      19.0001
     0.900862,      35.5174
     0.775615,      18.9726
     0.902167,      34.2805
     0.999119,      25.3834
      1.20747,      55.5976
      1.03009,      46.2639
      1.23649,      83.6576
      1.23742,      25.3967
     0.835057,      86.0083
     0.917084,      47.4423
     0.817307,      32.4943
     0.817724,      89.0443
     0.985942,      34.3059
      1.37130,      58.8952
      1.21621,      58.6554
     0.915941,      65.9789
     0.950401,      35.0755
     0.712608,      39.6092
     0.915768,      33.4913
     0.953104,      55.0144
     0.855249,      35.6623
     0.985782,      17.9258
      1.40808,      40.6420
     0.925960,      50.7649
      1.03573,      46.4050
     0.903612,      20.9575
     0.934731,      9.93217
      1.36832,      52.4963
     0.855998,      52.9359
     0.834284,      19.9586
     0.751518,      43.9903
      1.03305,      93.9190
     0.904102,      60.3057
     0.758611,      29.7334
      1.28371,      46.8376
      1.37403,      28.2563
     0.856894,      21.7394
      1.29356,      48.1388
      1.03595,      52.9445
      1.22402,      40.7915
     0.983670,      23.3935
      1.13730,      58.3075
      1.03541,      68.3889
      1.23044,      76.9903
     0.902473,      45.6388
     0.773122,      43.0802
     0.999056,      36.6305
      1.10441,      70.5097
     0.760516,      24.1884
     0.983172,      31.7560
     0.902898,      59.2449
      1.15840,      26.3652
      1.08539,      49.6223
     0.817494,      29.0339
      1.35822,      59.6945
      1.05630,      51.3314
      1.25542,      34.4324
      1.25858,      78.3827
      1.10379,      25.2020
     0.979735,      67.7159
      1.11730,      95.3331
      1.18011,      52.6328
     0.817438,      10.1524
      1.27472,      53.3232
      1.16980,      81.0590
      1.25644,      53.0047
      1.02338,      46.2837
      1.03793,      16.5077
      1.21314,      47.1190
      1.05624,      17.3989
     0.817859,      29.2384
      1.27397,      28.9367
     0.979623,      67.6798
      1.21300,      22.9028
     0.998438,      42.7703
      1.18148,      58.7059
      1.40083,      54.1765
      1.25988,      27.2692
      1.03858,      26.9357
     0.836520,      110.593
      1.18096,      60.0201
     0.901641,      47.9718
     0.901751,      29.5222
     0.733969,      44.0737
      1.28157,      39.5199
      1.27178,      77.0295
      1.15972,      48.7171
     0.985737,      57.1937
      1.15939,      44.9569
      1.27079,      79.1737
      1.03330,      26.9043
     0.799176,      59.0844
     0.739211,      33.3647
      1.01992,      21.0031
     0.835380,      28.1248
     0.875343,      59.4759
      1.16428,      23.7802
      1.16118,      94.5221
     0.862400,      42.4910
      1.18130,      47.2636
     0.819139,      17.8765
      1.16340,      37.4939
      1.29770,      96.7104
      1.21649,      71.1215
     0.816108,      15.8670
      1.29816,      8.96612
     0.733809,      38.9274
     0.820110,      28.7756
      1.16340,      33.3816
     0.904101,      70.1084
      1.29806,      58.0277
     0.985024,      28.7945
      1.27832,      37.6105
      1.02321,      39.8624
      1.27848,      14.0161
     0.281932,      5.40852
     0.841595,      25.4924
     0.842294,      33.1790
      1.16109,      26.8174
     0.996965,      123.538
      1.16283,      39.1120
     0.903950,      59.0301
     0.759043,      45.9647
     0.757605,      119.621
      1.24712,      58.9494
     0.726697,      43.3366
      1.23125,      54.5681
      1.03626,      66.0006
     0.842045,      59.3169
      1.03701,      31.4803
      1.40056,      101.118
      1.10368,      127.734
     0.819017,      59.7665
      1.28173,      63.4633
      1.40864,      70.2528
      1.31479,      28.8140
     0.983826,      59.8349
     0.808125,      27.7961
     0.781382,      34.7709
     0.726639,      66.8958
      1.04462,      48.6735
     0.773229,      49.8099
      1.01476,      23.7321
      1.08742,      27.8553
      1.04386,      39.9592
      1.05844,      63.7943
     0.832079,      23.2029
     0.760359,      35.9909
     0.902794,      19.3810
